'1', '0', 'transmission_control', 'email_out', 'Conexion_establecida', '331', '757', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '142', '90', '0.63', '0.04', '0.01', '0.00', '0.00', '0.00', '0.00', '0.00'
'2', '0', 'transmission_control', 'web', 'Conexion_rechazada', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '1.00', '1.00', '1.00', '0.00', '0.00', '6', '255', '1.00', '0.00', '0.17', '0.11', '0.00', '0.00', '1.00', '1.00'
'3', '0', 'transmission_control', 'file_transfer_data', 'Conexion_establecida', '0', '192', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '160', '59', '0.14', '0.04', '0.14', '0.03', '0.00', '0.00', '0.00', '0.00'
'4', '0', 'transmission_control', 'web', 'Conexion_establecida', '10951', '357', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '30', '31', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.06', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'5', '0', 'transmission_control', 'web', 'Conexion_establecida', '3652', '289', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '13', '13', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '41', '255', '1.00', '0.00', '0.02', '0.03', '0.00', '0.00', '0.00', '0.00'
'6', '0', 'transmission_control', 'web', 'Conexion_establecida', '276', '369', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '18', '18', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'7', '0', 'transmission_control', 'web', 'Conexion_establecida', '1026', '338', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '51', '51', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'8', '0', 'transmission_control', 'web', 'Conexion_establecida', '3324', '211', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7', '7', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '7', '255', '1.00', '0.00', '0.14', '0.06', '0.00', '0.00', '0.00', '0.00'
'9', '0', 'transmission_control', 'web', 'Conexion_establecida', '646', '215', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '1.00', '8', '255', '1.00', '0.00', '0.12', '0.05', '0.00', '0.00', '0.00', '0.00'
'10', '0', 'internet_control', 'echo_internal', 'Conexion_establecida', '0', '30', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '255', '1.00', '0.00', '1.00', '0.00', '0.00', '0.00', '0.00', '0.00'
'11', '17', 'transmission_control', 'email_out', 'Conexion_establecida', '330', '2137', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0.00', '0.00', '0.00', '0.00', '1.00', '0.00', '0.00', '255', '156', '0.61', '0.03', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00'
